City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
156,Avarua,CK,2022-03-28 04:47:34,-21.2078,-159.775,75.25,94,75,4.61
157,Souillac,MU,2022-03-28 04:47:34,-20.5167,57.5167,82.78,69,40,8.05
158,Tessalit,ML,2022-03-28 04:47:35,20.1986,1.0114,78.15,8,75,11.34
159,Lata,PT,2022-03-28 04:47:35,40.1629,-8.3327,55.08,60,100,9.22
160,Malartic,CA,2022-03-28 04:47:36,48.1335,-78.1328,1.51,80,100,8.01
161,Svetlogorsk,BY,2022-03-28 04:47:36,52.6333,29.7333,33.67,51,98,16.24
162,Anadyr,RU,2022-03-28 04:47:37,64.75,177.4833,-5.01,83,0,8.95
163,Abnub,EG,2022-03-28 04:47:37,27.2696,31.1511,54.34,42,0,10.63
164,Tuatapere,NZ,2022-03-28 04:47:38,-46.1333,167.6833,62.62,81,22,8.79
165,Grand Gaube,MU,2022-03-28 04:47:38,-20.0064,57.6608,83.37,72,2,7.0
166,Clyde River,CA,2022-03-28 04:47:39,70.4692,-68.5914,-7.37,77,100,10.36
167,Vila Velha,BR,2022-03-28 04:47:39,-20.3297,-40.2925,76.95,89,0,5.75
168,Camrose,CA,2022-03-28 04:47:40,53.0168,-112.8353,29.93,81,99,8.32
169,Adeje,ES,2022-03-28 04:47:41,28.1227,-16.726,64.56,76,40,9.22
170,Kruisfontein,ZA,2022-03-28 04:47:41,-34.0033,24.7314,68.13,52,9,8.81
171,Namatanai,PG,2022-03-28 04:47:42,-3.6667,152.4333,83.3,76,72,7.61
172,Luderitz,NA,2022-03-28 04:47:42,-26.6481,15.1594,62.13,73,0,1.7
173,Melfort,CA,2022-03-28 04:47:42,52.8667,-104.6177,19.53,73,90,8.05
174,Portobelo,PA,2022-03-28 04:47:43,9.55,-79.65,76.1,87,58,12.5
175,Boa Vista,BR,2022-03-28 04:47:43,2.8197,-60.6733,80.58,74,75,6.91
176,Taman,RU,2022-03-28 04:47:44,45.2117,36.7161,38.19,48,77,12.84
177,Kamenka,RU,2022-03-28 04:47:44,51.3223,42.7678,22.12,79,100,17.29
178,Santo Antonio Do Taua,BR,2022-03-28 04:47:44,-1.1519,-48.1294,75.15,98,100,2.77
179,Oussouye,SN,2022-03-28 04:47:45,12.485,-16.5469,69.01,71,100,10.96
180,Ribeira Grande,PT,2022-03-28 04:47:45,38.5167,-28.7,59.68,85,99,11.92
181,Husavik,IS,2022-03-28 04:47:46,66.0449,-17.3389,23.68,73,99,7.63
182,Soc Trang,VN,2022-03-28 04:47:46,9.6033,105.98,95.4,40,54,9.15
183,Vila,PT,2022-03-28 04:48:46,42.0304,-8.1588,45.7,75,100,3.76
184,Mount Isa,AU,2022-03-28 04:48:47,-20.7333,139.5,94.77,11,34,14.97
185,Acapulco,MX,2022-03-28 04:48:47,16.8634,-99.8901,75.38,47,100,4.52
186,Batouri,CM,2022-03-28 04:48:48,4.4333,14.3667,65.44,37,34,3.0
187,Pitsunda,GE,2022-03-28 04:48:48,43.1592,40.3378,37.58,59,44,18.23
188,Cam Ranh,VN,2022-03-28 04:48:49,11.9214,109.1591,87.76,70,20,11.5
189,Bagli,IN,2022-03-28 04:48:49,22.65,76.35,96.31,8,16,14.2
190,Mahebourg,MU,2022-03-28 04:48:50,-20.4081,57.7,83.25,69,40,8.05
191,Pavlodar,KZ,2022-03-28 04:48:50,52.3,76.95,28.2,86,100,4.47
192,Yar-Sale,RU,2022-03-28 04:48:51,66.8333,70.8333,17.42,90,100,18.68
193,Bapatla,IN,2022-03-28 04:48:51,15.9,80.4667,90.68,53,40,11.23
194,Qandala,SO,2022-03-28 04:48:52,11.472,49.8728,80.38,49,2,3.62
195,Shenzhen,CN,2022-03-28 04:48:52,22.5455,114.0683,64.22,95,100,5.55
196,Kaitangata,NZ,2022-03-28 04:48:53,-46.2817,169.8464,63.25,75,2,4.38
