City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
307,Priargunsk,RU,50.3691,119.1012,36.81,50,88,15.17,overcast clouds
308,Mahebourg,MU,-20.4081,57.7,84.25,62,10,7.34,clear sky
309,Vardo,NO,70.3705,31.1107,26.58,59,75,17.27,broken clouds
310,Iquitos,PE,-3.7481,-73.2472,73.44,100,100,1.14,overcast clouds
311,Lavrentiya,RU,65.5833,-171.0,3.78,89,26,6.67,scattered clouds
312,Yangambi,CD,0.8102,24.4336,74.32,90,100,4.14,overcast clouds
313,Nizhniy Tsasuchey,RU,50.5167,115.1333,36.07,25,95,19.3,overcast clouds
314,Huron,US,41.1501,-82.5499,25.68,69,12,13.71,few clouds
315,Champerico,GT,14.3,-91.9167,79.93,72,98,2.86,overcast clouds
316,Portree,GB,57.4129,-6.1942,49.51,70,11,1.3,few clouds
317,Birin,NP,26.8865,88.0718,76.39,24,3,8.59,clear sky
318,Kavaratti,IN,10.5669,72.642,83.37,77,89,10.98,overcast clouds
319,Tinaquillo,VE,9.9186,-68.3047,73.92,79,93,4.25,overcast clouds
320,Ambon,ID,-3.6954,128.1814,89.74,66,20,4.81,few clouds
321,San Policarpo,PH,12.1791,125.5072,81.55,84,67,12.88,broken clouds
322,Tautira,PF,-17.7333,-149.15,81.72,75,76,13.44,broken clouds
323,Raymond,US,43.9015,-70.4703,31.51,58,100,6.44,overcast clouds
324,Camacha,PT,33.0833,-16.3333,54.82,77,20,4.61,few clouds
325,Puro,PH,12.4841,123.3827,86.76,62,34,13.44,scattered clouds
326,Saskylakh,RU,71.9167,114.0833,2.08,88,100,9.22,overcast clouds
327,Mahwa,IN,27.0471,76.9288,101.84,6,1,8.86,clear sky
328,Sao Felix Do Xingu,BR,-6.6447,-51.995,71.58,99,100,0.74,overcast clouds
329,Lingao,CN,19.9103,109.6859,69.26,81,100,12.17,overcast clouds
330,Palombara Sabina,IT,42.0667,12.768,55.27,54,94,3.4,overcast clouds
331,Zhumadian,CN,32.9794,114.0294,66.87,50,0,10.18,clear sky
332,Jacareacanga,BR,-6.2222,-57.7528,73.67,99,100,1.05,overcast clouds
333,Porto Novo,BJ,6.4965,2.6036,80.44,86,51,4.72,broken clouds
334,Brae,GB,60.3964,-1.353,42.91,79,55,15.82,broken clouds
335,Kodiak,US,57.79,-152.4072,36.91,100,100,11.5,moderate rain
336,Bathsheba,BB,13.2167,-59.5167,77.61,73,40,16.11,scattered clouds
337,The Valley,AI,18.217,-63.0578,77.09,77,59,12.37,broken clouds
338,Saint-Philippe,RE,-21.3585,55.7679,84.22,77,62,5.64,broken clouds
339,Vanimo,PG,-2.6741,141.3028,81.63,84,100,10.87,overcast clouds
340,Kauhajoki,FI,62.4333,22.1833,35.76,79,81,15.79,light rain
341,Bartlesville,US,36.7473,-95.9808,47.1,54,0,6.91,clear sky
342,Atasu,KZ,48.6814,71.6433,31.05,93,98,10.16,overcast clouds
343,Xining,CN,36.6167,101.7667,57.85,12,16,3.4,few clouds
344,Hun,LY,29.1268,15.9477,66.67,10,36,5.91,scattered clouds
345,Nhamunda,BR,-2.1861,-56.7131,73.15,99,96,0.96,very heavy rain
